iter	Passed	Remaining
0	215	75248
1	417	72698
2	661	76484
3	877	75875
4	1114	76888
5	1337	76663
6	1450	71066
7	1521	65040
8	1585	60074
9	1655	56296
10	1718	52959
11	1787	50339
12	1844	47817
13	1903	45672
14	1971	44040
15	2040	42588
16	2112	41381
17	2194	40475
18	2261	39398
19	2323	38331
20	2384	37355
21	2445	36463
22	2502	35571
23	2562	34801
24	2621	34078
25	2681	33412
26	2739	32775
27	2799	32188
28	2853	31583
29	2908	31027
30	3000	30875
31	3093	30741
32	3150	30266
33	3205	29793
34	3259	29332
35	3314	28908
36	3369	28500
37	3420	28081
38	3473	27701
39	3524	27311
40	3573	26930
41	3619	26544
42	3669	26198
43	3718	25861
44	3769	25550
45	3821	25253
46	3872	24967
47	3919	24662
48	3967	24368
49	4015	24093
50	4065	23832
51	4110	23556
52	4155	23287
53	4236	23222
54	4428	23755
55	4599	24146
56	4773	24536
57	4958	24961
58	5160	25450
59	5431	26252
60	5658	26809
61	5840	27127
62	6008	27370
63	6183	27634
64	6343	27812
65	6511	28019
66	6703	28316
67	6873	28506
68	7065	28774
69	7231	28924
70	7409	29114
71	7593	29319
72	7897	29965
73	8073	30112
74	8261	30291
75	8434	30409
76	8605	30511
77	8777	30607
78	8941	30671
79	9121	30784
80	9299	30884
81	9464	30932
82	9641	31016
83	9811	31069
84	9976	31103
85	10149	31155
86	10327	31220
87	10498	31258
88	10676	31309
89	10845	31332
90	11044	31435
91	11213	31447
92	11401	31508
93	11568	31505
94	11761	31570
95	11967	31664
96	12214	31857
97	12427	31955
98	12594	31931
99	12774	31935
100	12950	31928
101	13120	31901
102	13296	31886
103	13464	31849
104	13651	31852
105	13819	31810
106	13988	31767
107	14182	31779
108	14390	31817
109	14583	31819
110	14780	31825
111	14964	31799
112	15149	31774
113	15338	31753
114	15535	31747
115	15713	31697
116	15897	31658
117	16077	31609
118	16257	31558
119	16477	31581
120	16757	31713
121	16962	31700
122	17311	31949
123	17482	31863
124	17662	31792
125	17848	31730
126	18062	31716
127	18274	31695
128	18489	31675
129	18752	31735
130	19071	31883
131	19348	31954
132	19552	31901
133	19769	31867
134	19970	31804
135	20173	31744
136	20383	31691
137	20587	31626
138	20819	31603
139	21149	31723
140	21359	31661
141	21568	31593
142	21837	31611
143	22080	31587
144	22360	31612
145	22598	31575
146	22804	31491
147	23013	31409
148	23224	31329
149	23444	31259
150	23652	31170
151	23850	31068
152	24065	30986
153	24272	30892
154	24480	30798
155	24695	30711
156	24900	30610
157	25116	30521
158	25410	30525
159	25691	30508
160	25981	30500
161	26261	30476
162	26501	30404
163	26705	30287
164	26910	30172
165	27118	30059
166	27329	29947
167	27531	29825
168	27738	29708
169	27954	29598
170	28166	29484
171	28373	29363
172	28563	29223
173	28775	29106
174	28990	28990
175	29196	28865
176	29456	28790
177	29774	28770
178	30135	28789
179	30342	28657
180	30550	28524
181	30754	28389
182	30949	28243
183	31124	28079
184	31300	27916
185	31478	27755
186	31665	27601
187	31845	27441
188	32048	27300
189	32224	27136
190	32407	26977
191	32580	26810
192	32763	26652
193	32938	26486
194	33123	26328
195	33298	26163
196	33479	26001
197	33655	25836
198	33835	25674
199	34029	25521
200	34296	25423
201	34519	25291
202	34698	25126
203	34878	24961
204	35048	24790
205	35235	24630
206	35411	24462
207	35594	24299
208	35779	24138
209	35958	23972
210	36141	23808
211	36327	23647
212	36505	23480
213	36689	23317
214	36872	23152
215	37049	22984
216	37234	22821
217	37406	22650
218	37582	22480
219	37752	22308
220	37949	22151
221	38141	21991
222	38316	21821
223	38521	21668
224	38808	21560
225	38983	21389
226	39157	21217
227	39336	21048
228	39511	20877
229	39693	20709
230	39875	20542
231	40059	20374
232	40236	20204
233	40413	20034
234	40590	19863
235	40777	19697
236	40953	19526
237	41102	19342
238	41280	19172
239	41451	18998
240	41639	18832
241	41825	18666
242	41999	18493
243	42181	18324
244	42356	18152
245	42533	17981
246	42707	17809
247	42917	17651
248	43188	17518
249	43377	17351
250	43550	17177
251	43724	17003
252	43890	16827
253	44072	16657
254	44240	16481
255	44427	16313
256	44591	16136
257	44774	15966
258	44941	15790
259	45110	15615
260	45275	15438
261	45426	15257
262	45606	15086
263	45781	14913
264	45960	14741
265	46140	14570
266	46312	14396
267	46490	14224
268	46656	14049
269	46831	13875
270	47010	13704
271	47186	13531
272	47441	13380
273	47733	13239
274	47914	13067
275	48091	12894
276	48271	12721
277	48470	12553
278	48687	12389
279	48907	12226
280	49139	12066
281	49375	11906
282	49552	11731
283	49722	11555
284	49904	11381
285	50086	11208
286	50264	11033
287	50440	10858
288	50612	10682
289	50806	10511
290	50981	10336
291	51166	10163
292	51338	9987
293	51516	9812
294	51727	9644
295	51995	9485
296	52170	9309
297	52348	9134
298	52524	8958
299	52703	8783
300	52865	8605
301	53050	8431
302	53240	8258
303	53423	8083
304	53594	7907
305	53772	7731
306	53946	7555
307	54124	7380
308	54298	7204
309	54473	7028
310	54638	6851
311	54818	6676
312	54993	6500
313	55173	6325
314	55343	6149
315	55526	5974
316	55735	5802
317	55963	5631
318	56329	5474
319	56571	5303
320	56790	5130
321	56992	4955
322	57170	4778
323	57338	4601
